,Symbols,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion
119,MDRX,16.27,16.20,19.01,13.05,1.69M,1.47M,113.77%
120,AFAM,,,,,,,
121,ASPC,9.82,9.73,9.91,9.60,5.21k,61.56k,0.00%
122,ALPA,9.73,9.72,10.08,9.62,2.21k,3.58k,31.22%
123,ALSAU,10.19,10.19,10.35,10.06,46.66k,642.97k,N/A
124,AOSL,45.47,33.61,63.29,23.66,572.21k,448.9k,59.42%
125,GOOG,"2,918.66","2,641.97","3,037.00","1,699.00",1.09M,1.12M,66.35%
126,ATEC,11.74,13.92,19.36,10.31,1.21M,982.72k,48.60%
127,REVE,10.01,10.01,10.10,9.83,730,29.71k,N/A
128,AEI,1.3754,4.2724,29.4900,0.5330,2.43M,2.43M,3.04%
129,AEAEU,10.09,10.09,10.20,10.02,6.67k,276.52k,N/A
130,ALTR,75.61,70.05,82.96,54.64,205.8k,202.63k,99.68%
131,CYTO,1.6376,2.6985,6.2500,1.2100,2.76M,4.07M,N/A
132,ALT,10.35,12.32,24.61,8.10,888.68k,773.12k,64.74%
133,ASPS,12.08,9.52,14.58,5.61,36.55k,77.9k,46.31%
134,ALTO,5.2326,5.3891,8.3400,4.3900,1.5M,1.63M,60.25%
135,KAACW,,,,,,,
136,ALTM,65.44,65.15,91.00,45.55,42.44k,66.78k,42.03%
137,AMZN,"3,457.60","3,382.30","3,773.08","2,881.00",2.88M,3.22M,59.71%
138,AMBA,191.71,130.85,227.59,82.59,731.62k,749.96k,82.24%
139,AMCP,,,,,,,
140,AMED,163.83,213.71,325.12,133.62,355.53k,433.9k,90.54%
141,AMTBB,25.23,19.53,29.05,11.26,2.85k,18.43k,14.02%
142,UHAL,726.78,641.48,769.90,439.70,41.02k,43.2k,38.14%
143,ASRV,3.8668,3.9444,5.3400,3.0500,4.4k,12.32k,43.60%
144,AAL,18.93,20.87,26.09,14.71,34.58M,34.51M,56.37%
145,ACAS,,,,,,,
146,AEOS,,,,,,,
147,AMIC,,,,,,,
148,AMGI,,,,,,,
149,ANAT,189.13,163.74,195.89,88.38,225.54k,89.92k,96.37%
150,AOUT,22.14,26.64,36.62,16.40,182.46k,155.39k,68.69%
151,ACAP,,,,,,,
152,AMRB,,,,,,,
153,AMSWA,26.77,23.41,33.27,16.31,113.77k,117.29k,115.21%
154,ATCO,14.03,14.10,16.49,10.44,409.8k,536.35k,57.72%
155,AMWD,67.84,79.29,108.81,56.29,209.77k,132.55k,96.52%
156,ASCA,,,,,,,
157,ATLO,24.33,24.42,27.90,22.05,20.12k,16.08k,22.57%
158,AMGN,211.22,230.06,276.69,198.64,3.11M,2.89M,77.17%
159,FOLD,11.16,10.34,24.84,8.60,2.18M,2.25M,105.38%
160,AMKR,23.04,23.63,29.50,14.82,817.08k,991.21k,39.94%
161,AMPG,3.8662,4.7491,19.8000,3.1690,259.22k,502.92k,8.69%
162,AMSG,,,,,,,
163,AMRS,8.69,13.32,23.42,4.79,7.32M,6.14M,41.91%
164,ALOG,,,,,,,
165,ANEN,,,,,,,
166,ABCW,,,,,,,
167,ANDE,35.81,31.12,39.71,22.45,254.84k,169.65k,79.45%
168,ANEB,6.61,6.98,9.33,4.40,3.82k,4.88k,14.36%
169,ANGO,27.86,25.99,32.00,14.96,295.49k,211.39k,97.55%
170,ANIK,39.93,41.06,48.37,32.30,128.83k,78.88k,94.02%
171,ANOR,N/A,N/A,N/A,N/A,N/A,N/A,N/A
172,ATRS,3.4972,3.8883,5.0700,3.1100,845.29k,677.89k,50.36%
173,ATEX,60.66,55.91,66.55,32.10,89.49k,77.21k,96.05%
174,ADALU,10.08,10.08,10.15,10.02,73.74k,441.48k,N/A
175,APLS,40.42,48.71,73.00,27.50,808.29k,1.08M,76.67%
176,APHA,,,,,,,
177,APOG,44.71,40.37,49.58,29.79,196.72k,116.21k,95.11%
178,APEN,8.72,7.93,10.39,3.32,316.86k,279.57k,53.60%
179,AINV,13.11,13.70,15.27,10.40,823.79k,383.62k,32.83%
180,APPH,5.2831,10.9482,42.9000,3.9600,1.43M,1.58M,52.12%
181,AAPL,160.94,143.40,182.13,116.21,105.21M,89.94M,58.81%
182,APDN,5.2312,5.9576,13.6400,4.1100,156.97k,730.23k,26.68%
183,AGTC,2.3436,3.4885,9.6700,1.8400,503.82k,633.01k,44.66%
184,AMCCD,,,,,,,
185,AAOI,6.27,7.36,13.95,5.20,459.54k,672.37k,49.04%
186,APLT,12.39,16.68,29.80,8.52,107.27k,91.26k,71.70%
187,AREX,,,,,,,
188,APRE,4.2728,4.5844,8.4600,2.7880,720.92k,1.13M,35.22%
189,APVO,11.09,19.21,43.21,6.38,313.95k,3.54M,21.07%
190,APM,2.0643,2.5763,4.9400,1.5500,120.75k,124.56k,1.71%
191,APYX,14.16,11.40,17.50,6.71,62.65k,73.17k,55.12%
192,AQB,3.1010,4.6968,13.3200,2.0700,942.34k,1.27M,56.31%
193,AQST,5.3240,4.3416,6.9970,3.1000,1.58M,736.77k,45.77%
194,VSAR,,,,,,,
195,ARBE,10.47,10.06,17.27,7.80,95.01k,211.74k,9.07%
196,ARCK,9.92,9.92,10.00,9.84,6.1k,6.1k,5.46%
197,ABUS,3.8246,3.4348,6.5000,2.4300,4.73M,9.86M,29.80%
198,ACTC,,,,,,,
199,RKDA,1.5485,2.2709,6.4000,0.9720,542.64k,371.09k,14.29%
200,ATSPT,9.85,9.79,10.00,4.50,82.45k,59.36k,N/A
201,ARCE,19.25,24.80,41.59,15.90,267.38k,259.06k,107.10%
202,ARCT,40.13,40.05,89.18,24.87,1.01M,598.04k,74.80%
203,ARDNA,,,,,,,
204,AFACU,10.11,10.11,10.20,10.00,4.41k,322.93k,N/A
205,ARBKL,24.53,24.53,25.05,22.60,20.77k,23.73k,N/A
206,ARHS,10.90,10.90,14.37,7.62,487.56k,685.87k,N/A
207,ARBA,,,,,,,
208,RAM,9.98,9.91,10.20,9.65,106.56k,76.28k,8.65%
209,ARIZ,9.73,9.73,9.82,9.70,6.55k,99.98k,N/A
210,ARKR,16.69,17.81,24.66,14.39,5.1k,5.25k,17.91%
211,ARMO,,,,,,,
212,ARWA,,,,,,,
213,ARRY,19.96,19.66,54.78,12.72,2.79M,2.89M,110.97%
214,ARVL,11.37,14.56,31.97,6.87,2.68M,3.48M,10.14%
215,ARWR,70.32,69.12,93.66,57.92,685.82k,617.12k,65.67%
216,ASNS,,,,,,,
217,ARTL,0.7349,1.0265,3.6700,0.5120,668.98k,8.31M,22.33%
218,AIP,22.77,22.77,27.57,15.10,185.24k,236.29k,N/A
219,ARTAU,10.17,10.05,10.56,9.58,7.35k,38.95k,10.00%
220,ARVN,80.79,78.91,108.47,56.59,479.15k,400.86k,88.12%
221,ASBP,,,,,,,
222,AMGIA,,,,,,,
223,ASTSF,,,,,,,
224,ASIA,,,,,,,
225,ASPU,3.7853,5.3669,11.3700,1.8500,878.44k,257.28k,58.06%
226,AIOFX,,,,,,,
227,ASRT,1.4448,1.5596,5.8000,0.8500,1.82M,1.27M,19.73%
228,ASFI,,,,,,,
229,ASTR,9.48,10.15,22.47,6.53,5.08M,4.85M,5.07%
230,ATXS,6.38,10.22,47.82,4.81,47.6k,52.56k,58.60%
231,ATRO,12.28,15.25,20.93,9.94,250.59k,148.47k,77.78%
232,ASUR,8.74,8.54,9.94,7.05,28.4k,44.82k,74.19%
233,ATER,5.6536,12.7668,48.9900,3.0400,3.14M,7.02M,26.22%
234,ATNX,1.9802,3.5078,15.0000,1.3400,898.91k,1.08M,49.04%
235,ATHA,13.41,13.70,34.25,8.88,292.58k,437.46k,70.93%
236,ATACU,,,,,,,
237,AAME,3.8900,4.0611,15.9700,2.0600,16.81k,15.88k,6.53%
238,ACBI,28.48,26.22,30.22,15.49,108.78k,98.8k,87.44%
239,ACAH,9.78,9.71,9.99,9.61,76.27k,167.93k,51.45%
240,AY,38.13,37.32,48.49,31.61,565.5k,482.09k,46.89%
241,ATLC,68.89,48.90,91.98,21.12,101.66k,109.76k,16.12%
242,AAWW,86.97,74.95,95.00,50.22,489.21k,519.09k,103.98%
243,AFHBL,11.69,10.79,13.50,2.00,5.95k,1.32k,N/A
244,ATCX,9.58,10.18,15.40,7.05,110.63k,95.94k,31.31%
245,ATOM,23.72,22.06,47.13,13.23,220.18k,325.44k,30.73%
246,ATRC,73.36,73.57,89.18,52.54,231.25k,225.47k,96.35%
247,AUBN,33.33,35.12,50.48,31.32,3.18k,2.75k,8.95%
248,AUDC,35.12,32.78,37.35,25.90,121.23k,101.53k,40.26%
249,AURA,17.92,17.92,26.16,13.50,168.5k,191.92k,N/A
250,ACB,6.68,7.62,18.98,5.42,4.57M,5.05M,19.66%
251,AACOU,N/A,N/A,N/A,N/A,N/A,N/A,N/A
252,AUTO,3.1604,2.8867,4.4000,2.2300,78.48k,156.26k,19.71%
253,ADSK,294.21,292.98,344.39,245.05,1.35M,1.49M,92.87%
254,AATC,6.75,6.71,11.58,4.06,14.19k,19.03k,N/A
255,AVTX,2.0726,2.6363,4.5000,1.6200,463.3k,357.54k,N/A
256,AVCO,0.9703,1.0068,1.6500,0.7900,183.86k,150.91k,4.15%
257,AVAN,9.83,9.80,11.40,9.54,47.83k,82.53k,70.01%
258,AVTR,39.29,36.44,44.37,26.14,4.23M,3.76M,91.24%
259,AVAH,7.28,9.38,13.00,5.89,391.42k,502.01k,93.91%
260,AVXS,,,,,,,
261,AVID,31.48,29.66,40.48,14.23,278.03k,334.15k,77.10%
262,RNA,24.26,22.95,29.59,17.58,262.79k,224.85k,91.20%
263,AVGR,0.6433,0.9533,2.6700,0.4510,1.15M,1.81M,13.72%
264,AHPAU,10.15,10.11,10.59,10.00,570,21.53k,N/A
265,AWRE,3.3036,3.6839,6.5200,2.8500,36.63k,45.3k,35.59%
266,ACLS,61.47,47.32,73.50,28.45,400.23k,389.45k,87.85%
267,AXGN,11.49,16.96,23.94,8.48,498.24k,304.4k,80.08%
268,AXON,167.36,164.37,212.37,115.57,508.51k,486.94k,75.65%
269,AXNX,60.51,62.57,79.81,46.96,603.83k,524.33k,114.34%
270,AXGT,,,,,,,
271,AZTA,110.34,97.38,124.79,65.37,576.83k,546.97k,95.57%
272,TACX,,,,,,,
273,APWRW,,,,,,,
274,VOLV,,,,,,,
275,ABMD,337.35,326.21,387.40,261.27,271.11k,242.7k,93.43%
276,ASPAU,10.24,10.19,10.53,10.00,60,193,23.71%
277,ACIU,5.70,6.70,12.61,4.68,227.61k,483.19k,27.75%
278,ACIW,32.33,34.95,43.23,28.39,853.78k,841.53k,98.55%
279,ACNB,28.75,28.46,33.74,24.06,23.17k,11.59k,21.25%
280,ACVA,19.89,23.62,37.77,16.15,2.05M,1.27M,90.15%
281,AEY,1.9926,2.3079,3.5900,1.6400,1.6M,285.94k,3.66%
282,ADTN,20.49,20.00,24.76,14.37,519.27k,366.8k,90.31%
283,AFAQ,9.74,9.71,9.95,9.59,4.18k,17.07k,43.04%
284,AGBA,11.00,10.79,11.08,10.40,190,10.7k,53.01%
285,AGNC,15.81,16.62,18.84,14.42,7.15M,6.37M,51.60%
286,ALIT,10.76,10.49,14.51,8.46,2.86M,2.22M,64.31%
287,ALORU,10.07,10.07,10.15,10.01,22.32k,612.14k,N/A
288,AMCIU,10.04,9.96,10.41,9.83,40,2.06k,9.90%
289,POWW,6.13,6.77,10.37,3.32,1.41M,2.06M,28.14%
290,ANSS,392.16,361.76,413.89,292.79,366.98k,343.31k,95.08%
291,ABIO,2.4560,3.0744,5.5000,2.1400,289.88k,456.65k,8.29%
292,ARYB,,,,,,,
293,ASTS,10.32,10.31,25.37,6.96,802.7k,957.84k,27.29%
294,ATAI,12.08,14.58,22.91,6.60,2.3M,797.35k,19.00%
295,ATNI,42.01,45.47,52.65,37.51,70.46k,40.95k,67.26%
296,AVEO,6.23,6.50,18.24,4.80,397.47k,249.9k,44.05%
297,AXTI,8.53,9.60,15.84,6.53,223.52k,233.71k,60.55%
298,AYTU,2.0646,4.1902,11.7600,1.3200,559.42k,490.31k,21.48%
299,ABSI,11.65,15.02,31.53,7.60,487.62k,241.44k,29.37%
300,ABEO,0.7010,1.2636,3.7900,0.2700,10.77M,2.48M,28.55%
301,ABIL,,,,,,,
302,ABRX,,,,,,,
303,ABBI,,,,,,,
304,ABST,9.90,12.43,21.20,8.36,141.52k,171.57k,82.33%
305,ASO,44.10,38.64,51.08,19.87,2.69M,2.64M,77.96%
306,ACAD,20.65,20.93,55.85,15.68,3.03M,1.62M,91.27%
307,ACST,1.4466,3.0849,9.7600,1.0400,7.18M,1.47M,0.94%
308,ACCP,N/A,N/A,N/A,N/A,N/A,N/A,N/A
309,XLRN,169.49,137.95,189.99,111.75,1.94M,1.34M,90.60%
310,ANCX,,,,,,,
311,ACCD,31.44,42.94,59.93,21.75,825.48k,650.88k,68.98%
312,ENER,9.75,9.75,9.80,9.69,85.16k,230.28k,5.78%
313,ARAY,5.0374,4.5121,6.0200,3.4600,845.5k,1.43M,80.70%
